world_rank,name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,year
1,California Institute of Technology,United States of America,95.7,56,98.2,99.9,97,94.8,"2,243",6.9,27%,33 : 67,2012
2,Harvard University,United States of America,95.8,67.5,97.4,99.8,35.9,93.9,"20,152",8.9,25%,,2012
2,Stanford University,United States of America,94.8,57.2,98.9,99.8,63.8,93.9,"15,596",7.8,22%,42:58:00,2012
4,University of Oxford,United Kingdom,89.5,91.9,96.6,97.9,62.1,93.6,"19,919",11.6,34%,46:54:00,2012
5,Princeton University,United States of America,91.5,49.6,99.1,100,81,92.9,"7,929",8.4,27%,45:55:00,2012
6,University of Cambridge,United Kingdom,90.5,85.3,94.2,97.3,55.5,92.4,"18,812",11.8,34%,46:54:00,2012
7,Massachusetts Institute of Technology,United States of America,92.7,79.2,87.4,100,94.4,92.3,"11,074",9,33%,37 : 63,2012
8,Imperial College London,United Kingdom,88.8,92.2,88.7,93.9,93.1,90.7,"15,060",11.7,51%,37 : 63,2012
9,University of Chicago,United States of America,89.4,58.8,90.8,99.4,NaN,90.2,"14,221",6.9,21%,42:58:00,2012
10,"University of California, Berkeley",United States of America,82.8,50.4,99.4,99.4,62.5,89.8,"36,186",16.4,15%,50:50:00,2012
11,Yale University,United States of America,92.3,55.5,91.2,96.7,34.7,89.1,"11,751",4.4,20%,50:50:00,2012
12,Columbia University,United States of America,89.1,67.6,81.8,97.8,NaN,87.5,"25,055",5.9,28%,,2012
13,"University of California, Los Angeles",United States of America,85.9,41,92.5,97.3,NaN,87.3,"38,206",10.3,15%,52:48:00,2012
14,Johns Hopkins University,United States of America,78.9,59.9,86.5,97.3,100,85.8,"15,128",3.6,23%,50:50:00,2012
15,ETH Zurich Swiss Federal Institute of Technology Zurich,Switzerland,79.1,97.5,85.8,87.2,NaN,85,"18,178",14.7,37%,31 : 69,2012
16,University of Pennsylvania,United States of America,87,34.3,86.1,97.9,41.9,84.9,"20,376",6.5,20%,51:49:00,2012
17,University College London,United Kingdom,77.8,91.8,84.3,89,41.4,83.2,"26,607",10.7,46%,56:44:00,2012
18,University of Michigan,United States of America,75.4,47.2,90,94.3,53.3,82.8,"41,786",9,16%,48:52:00,2012
19,University of Toronto,Canada,76.9,69,87.4,86.5,44.9,81.6,"66,198",19.5,15%,,2012
20,Cornell University,United States of America,70.4,53.4,87.2,93.5,NaN,80.5,"21,424",10.2,19%,48:52:00,2012
21,Carnegie Mellon University,United States of America,65.7,55,79.5,97.4,60.7,78.4,"11,885",13.1,35%,39 : 61,2012
22,Duke University,United States of America,62.6,46.9,77.9,97.4,100,77.4,"15,172",4.8,17%,49:51:00,2012
22,University of British Columbia,Canada,68.6,88.7,78.6,85.2,40.6,77.4,"50,152",17.6,25%,54:46:00,2012
24,Georgia Institute of Technology,United States of America,66.6,65,73.8,91.9,99.2,77,"19,967",20.1,26%,31 : 69,2012
25,University of Washington,United States of America,70.8,36.9,74,98.2,31.8,76.5,"44,020",11.8,13%,53:47:00,2012
26,Northwestern University,United States of America,66.3,35.3,75.5,98.6,56.6,76.2,"18,334",13.8,15%,48:52:00,2012
27,University of Wisconsin-Madison,United States of America,74.3,23.8,77.3,90.6,55.3,75.8,"39,655",10.8,11%,51:49:00,2012
28,McGill University,Canada,72.8,81.4,78.4,77.1,35.1,75.5,"31,326",13.7,23%,56:44:00,2012
29,University of Texas at Austin,United States of America,69.5,38.8,76.1,89.6,57.7,74.9,"49,427",17.4,9%,51:49:00,2012
30,University of Tokyo,Japan,86.1,23,80.3,69.1,76.6,74.3,"26,199",5.7,10%,,2012
