world_rank,name,country,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,year
1,California Institute of Technology,United States of America,92.2,67,98.1,99.7,89.1,94.3,"2,243",6.9,27%,33 : 67,2015
2,Harvard University,United States of America,92.9,67.6,98.6,98.9,44,93.3,"20,152",8.9,25%,,2015
3,University of Oxford,United Kingdom,88.6,90.7,97.7,95.5,72.9,93.2,"19,919",11.6,34%,46:54:00,2015
4,Stanford University,United States of America,91.5,69,96.7,99.1,63.1,92.9,"15,596",7.8,22%,42:58:00,2015
5,University of Cambridge,United Kingdom,89.7,87.8,95.6,95.2,51.1,92,"18,812",11.8,34%,46:54:00,2015
6,Massachusetts Institute of Technology,United States of America,89.1,84.3,88.2,100,95.7,91.9,"11,074",9,33%,37 : 63,2015
7,Princeton University,United States of America,86.6,61.2,94.7,99.6,82.7,90.9,"7,929",8.4,27%,45:55:00,2015
8,"University of California, Berkeley",United States of America,84.2,58.5,96.7,99.1,44.8,89.5,"36,186",16.4,15%,50:50:00,2015
9,Imperial College London,United Kingdom,84.6,92.7,88.3,89.4,72.7,87.5,"15,060",11.7,51%,37 : 63,2015
9,Yale University,United States of America,88.5,59.8,90.8,94,42,87.5,"11,751",4.4,20%,50:50:00,2015
11,University of Chicago,United States of America,83.9,65.2,89.9,97.3,36.8,87.1,"14,221",6.9,21%,42:58:00,2015
12,"University of California, Los Angeles",United States of America,82.4,49.2,90.5,95.3,NaN,85.5,"38,206",10.3,15%,52:48:00,2015
13,ETH Zurich Swiss Federal Institute of Technology Zurich,Switzerland,78.2,96.6,90.2,83.5,73.2,84.6,"18,178",14.7,37%,31 : 69,2015
14,Columbia University,United States of America,83.9,68.3,79.4,95.3,NaN,84.4,"25,055",5.9,28%,,2015
15,Johns Hopkins University,United States of America,75.6,59.7,84.2,93.6,100,83,"15,128",3.6,23%,50:50:00,2015
16,University of Pennsylvania,United States of America,79,43.8,82,94.4,43,81,"20,376",6.5,20%,51:49:00,2015
17,University of Michigan,United States of America,77,49.8,86.5,88.9,55.7,80.9,"41,786",9,16%,48:52:00,2015
18,Duke University,United States of America,73.5,50.5,75.2,96.6,100,79.9,"15,172",4.8,17%,49:51:00,2015
19,Cornell University,United States of America,71.6,59,83.8,91.5,33.7,79.4,"21,424",10.2,19%,48:52:00,2015
20,University of Toronto,Canada,74.4,71.2,85.1,83,46.1,79.3,"66,198",19.5,15%,,2015
21,Northwestern University,United States of America,72.7,36.7,78.9,96.9,77,79.2,"18,334",13.8,15%,48:52:00,2015
22,University College London,United Kingdom,70.4,90.6,80.4,85.1,46.2,78.7,"26,607",10.7,46%,56:44:00,2015
23,University of Tokyo,Japan,81.4,32.4,85.1,74.7,51.2,76.1,"26,199",5.7,10%,,2015
24,Carnegie Mellon University,United States of America,61.6,59.3,74.9,92,53,74.3,"11,885",13.1,35%,39 : 61,2015
25,National University of Singapore,Singapore,72,94.9,78.1,66,53.4,73.3,"31,592",15.5,34%,49:51:00,2015
26,University of Washington,United States of America,64.5,47.9,68.9,95,44.7,73.2,"44,020",11.8,13%,53:47:00,2015
27,Georgia Institute of Technology,United States of America,62.5,68.9,71.2,85.8,72.3,72.8,"19,967",20.1,26%,31 : 69,2015
28,University of Texas at Austin,United States of America,64.3,33.1,72,91.5,58.1,72.3,"49,427",17.4,9%,51:49:00,2015
29,LMU Munich,Germany,65.1,56.4,69.1,83,100,71.9,"35,691",15.5,13%,62:38:00,2015
29,University of Illinois at Urbana-Champaign,United States of America,67.7,43.9,79,77.8,51.7,71.9,"42,727",18.7,20%,47:53:00,2015
